kp	6.52008
ks	3.41721
kr	6.08744
ku	6.08858
kt	4.57750
kw	5.58222
kv	8.87988
ky	5.96143
kx	12.7276
kz	11.5889
ja	2.48735
jc	8.59894
jb	8.95296
je	2.69093
jd	8.77640
jg	9.64173
jf	9.56954
ji	4.74735
jh	8.83989
jk	9.42551
jj	9.22182
jm	8.74803
jl	9.62669
jo	1.81936
jn	9.37626
jq	13.6993
jp	8.12010
js	7.93205
jr	6.89906
ju	1.71533
jt	8.87840
jw	9.22199
jv	10.0716
jy	10.7126
jx	13.6502
jz	11.7139
ma	2.31901
mc	6.62737
mb	4.72388
me	1.99961
md	7.82265
mg	8.57743
mf	7.25095
mi	3.16201
mh	7.25950
mk	9.93798
mj	9.66401
mm	4.86777
ml	7.83047
mo	3.07218
mn	7.60778
mq	12.3162
mp	3.79718
ms	4.79524
mr	7.36525
mu	4.85801
mt	5.15552
mw	6.86006
mv	9.64214
my	5.80431
mx	12.9000
mz	12.5414
la	2.97538
lc	6.29095
lb	6.20926
le	2.58488
ld	4.15315
lg	7.62026
lf	6.07578
li	2.96837
lh	7.16066
lk	7.29076
lj	9.70529
lm	6.36179
ll	2.88733
lo	3.54695
ln	7.92067
lq	11.2063
lp	6.16301
ls	4.39314
lr	6.92023
lu	5.37162
lt	4.74089
lw	6.63288
lv	7.20174
ly	3.72956
lx	13.5247
lz	11.6350
oa	5.63518
oc	5.41272
ob	5.71243
oe	6.96007
od	5.41967
og	6.28994
of	3.41493
oi	5.93168
oh	6.64510
ok	6.58310
oj	8.94470
om	3.95075
ol	4.56871
oo	5.00152
on	2.51686
oq	11.3746
op	4.96087
os	4.58246
or	2.83268
ou	3.38819
ot	4.01934
ow	4.47868
ov	5.46986
oy	7.39684
ox	8.96892
oz	10.4769
na	3.71461
nc	4.34473
nb	6.42304
ne	3.49962
nd	2.74247
ng	3.00281
nf	5.96459
ni	4.14679
nh	6.30295
nk	6.66653
nj	7.84694
nm	6.34728
nl	6.38733
no	4.03225
nn	5.89891
nq	10.4735
np	6.70256
ns	3.85890
nr	7.01295
nu	6.37194
nt	2.60817
nw	6.19625
nv	7.13820
ny	6.15333
nx	12.0120
nz	10.1801
qa	5.94442
